CaptureEventID,URL_Info,Species
ASG000b8lk,S4/B04/B04_R1/S4_B04_R1_IMAG0049.JPG,giraffe
ASG000b8lk,S4/B04/B04_R1/S4_B04_R1_IMAG0050.JPG,giraffe
ASG000b8lk,S4/B04/B04_R1/S4_B04_R1_IMAG0051.JPG,giraffe
ASG000b8ji,S4/B04/B04_R1/S4_B04_R1_IMAG0079.JPG,impala
ASG000b8ji,S4/B04/B04_R1/S4_B04_R1_IMAG0080.JPG,impala
ASG000b8ji,S4/B04/B04_R1/S4_B04_R1_IMAG0081.JPG,impala
ASG000b8j8,S4/B04/B04_R1/S4_B04_R1_IMAG0359.JPG,wildebeest
ASG000b8j8,S4/B04/B04_R1/S4_B04_R1_IMAG0360.JPG,wildebeest
ASG000b8j8,S4/B04/B04_R1/S4_B04_R1_IMAG0361.JPG,wildebeest
ASG000b8iq,S4/B04/B04_R1/S4_B04_R1_IMAG0398.JPG,wildebeest
ASG000b8iq,S4/B04/B04_R1/S4_B04_R1_IMAG0399.JPG,wildebeest
ASG000b8iq,S4/B04/B04_R1/S4_B04_R1_IMAG0400.JPG,wildebeest
ASG000b8jp,S4/B04/B04_R1/S4_B04_R1_IMAG0594.JPG,zebra
ASG000b8jp,S4/B04/B04_R1/S4_B04_R1_IMAG0595.JPG,zebra
ASG000b8jp,S4/B04/B04_R1/S4_B04_R1_IMAG0596.JPG,zebra
ASG000b8ky,S4/B04/B04_R1/S4_B04_R1_IMAG0616.JPG,wildebeest
ASG000b8ny,S4/B04/B04_R2/S4_B04_R2_IMAG0015.JPG,elephant
ASG000b8ny,S4/B04/B04_R2/S4_B04_R2_IMAG0016.JPG,elephant
ASG000b8ny,S4/B04/B04_R2/S4_B04_R2_IMAG0017.JPG,elephant
ASG000b8o0,S4/B04/B04_R2/S4_B04_R2_IMAG0020.JPG,elephant
ASG000b8o3,S4/B04/B04_R2/S4_B04_R2_IMAG0031.JPG,impala
ASG000b8o3,S4/B04/B04_R2/S4_B04_R2_IMAG0032.JPG,impala
ASG000b8o3,S4/B04/B04_R2/S4_B04_R2_IMAG0033.JPG,impala
ASG000e8ou,S4/B05/B05_R1/S4_B05_R1_IMAG0179.JPG,impala
ASG000e8ou,S4/B05/B05_R1/S4_B05_R1_IMAG0180.JPG,impala
ASG000e8ou,S4/B05/B05_R1/S4_B05_R1_IMAG0181.JPG,impala
ASG000e8ub,S4/B05/B05_R1/S4_B05_R1_IMAG0202.JPG,impala
ASG000e8ub,S4/B05/B05_R1/S4_B05_R1_IMAG0203.JPG,impala
ASG000e8ub,S4/B05/B05_R1/S4_B05_R1_IMAG0204.JPG,impala
ASG000e8qd,S4/B05/B05_R1/S4_B05_R1_IMAG0264.JPG,zebra
ASG000e8qd,S4/B05/B05_R1/S4_B05_R1_IMAG0265.JPG,zebra
ASG000e8qd,S4/B05/B05_R1/S4_B05_R1_IMAG0266.JPG,zebra
ASG000e8oo,S4/B05/B05_R1/S4_B05_R1_IMAG0270.JPG,zebra
ASG000e8oo,S4/B05/B05_R1/S4_B05_R1_IMAG0271.JPG,zebra
ASG000e8oo,S4/B05/B05_R1/S4_B05_R1_IMAG0272.JPG,zebra
ASG000e8rd,S4/B05/B05_R1/S4_B05_R1_IMAG0274.JPG,zebra
ASG000e8ps,S4/B05/B05_R1/S4_B05_R1_IMAG0280.JPG,wildebeest
