URL_Info,local_header_offset,compressed_size,uncompressed_size,compression,crc32,flags
S4/B04/B04_R1/S4_B04_R1_IMAG0049.JPG,5836780326,762366,762366,0,2102318966,0
S4/B04/B04_R1/S4_B04_R1_IMAG0050.JPG,5837542758,748878,748878,0,315001938,0
S4/B04/B04_R1/S4_B04_R1_IMAG0051.JPG,5838291702,697635,697635,0,1792621665,0
S4/B04/B04_R2/S4_B04_R2_IMAG0015.JPG,6504240346,884070,884070,0,1958574657,0
S4/B04/B04_R2/S4_B04_R2_IMAG0016.JPG,6505124482,886544,886544,0,1729295756,0
S4/B04/B04_R2/S4_B04_R2_IMAG0017.JPG,6506011092,813373,813373,0,3533847662,0
S4/B05/B05_R1/S4_B05_R1_IMAG0387.JPG,7049272475,496645,496645,0,993517694,0
S4/B05/B05_R2/S4_B05_R2_IMAG0021.JPG,7114789947,658588,658588,0,3676412163,0
S4/B05/B05_R2/S4_B05_R2_IMAG0175.JPG,7294479882,1262963,1262963,0,630714615,0
S4/B05/B05_R2/S4_B05_R2_IMAG0176.JPG,7295742911,1259204,1259204,0,1961698314,0
S4/B05/B05_R2/S4_B05_R2_IMAG0177.JPG,7297002181,1191812,1191812,0,4265028885,0
S4/B05/B05_R2/S4_B05_R2_IMAG0293.JPG,7414271380,646256,646256,0,2836033819,0
S4/B05/B05_R2/S4_B05_R2_IMAG0302.JPG,7419949678,650853,650853,0,3961276537,0
S4/B05/B05_R2/S4_B05_R2_IMAG0320.JPG,7431154605,638268,638268,0,2747998668,0
S4/B05/B05_R2/S4_B05_R2_IMAG0434.JPG,7564573250,653353,653353,0,4209226255,0
S4/B05/B05_R2/S4_B05_R2_IMAG0471.JPG,7593777752,586172,586172,0,4194250598,0
S4/B05/B05_R2/S4_B05_R2_IMAG0519.JPG,7660519989,1777886,1777886,0,3200589152,0
S4/B05/B05_R2/S4_B05_R2_IMAG0520.JPG,7662297941,1774477,1774477,0,2302676492,0
S4/B05/B05_R2/S4_B05_R2_IMAG0521.JPG,7664072484,1713099,1713099,0,627317993,0
S4/B05/B05_R2/S4_B05_R2_IMAG0525.JPG,7670900222,1780950,1780950,0,2971221167,0
S4/B05/B05_R2/S4_B05_R2_IMAG0526.JPG,7672681238,1784339,1784339,0,1412540981,0
S4/B05/B05_R2/S4_B05_R2_IMAG0527.JPG,7674465643,1717471,1717471,0,3769306789,0
S4/B05/B05_R2/S4_B05_R2_IMAG0636.JPG,7845062790,860259,860259,0,2425622754,0
S4/B05/B05_R2/S4_B05_R2_IMAG0727.JPG,7951735859,1234828,1234828,0,4264924049,0
S4/B05/B05_R2/S4_B05_R2_IMAG0728.JPG,7952970753,1250669,1250669,0,2531239370,0
S4/B05/B05_R2/S4_B05_R2_IMAG0729.JPG,7954221488,1175424,1175424,0,2867978765,0
S4/B05/B05_R2/S4_B05_R2_IMAG0787.JPG,8026105943,1181800,1181800,0,3590264564,0
S4/B05/B05_R2/S4_B05_R2_IMAG0788.JPG,8027287809,1176733,1176733,0,2120291232,0
S4/B05/B05_R2/S4_B05_R2_IMAG0789.JPG,8028464608,1101836,1101836,0,898285830,0
S4/B05/B05_R2/S4_B05_R2_IMAG1969.JPG,9291738817,687931,687931,0,2636918070,0
S4/B05/B05_R2/S4_B05_R2_IMAG1970.JPG,9292426814,551047,551047,0,2177218464,0
S4/B05/B05_R2/S4_B05_R2_IMAG1971.JPG,9292977927,351451,351451,0,1431594155,0
S4/B05/B05_R2/S4_B05_R2_IMAG2017.JPG,9328406510,975555,975555,0,2097935166,0
S4/B05/B05_R2/S4_B05_R2_IMAG2018.JPG,9329382131,974347,974347,0,2480496795,0
S4/B05/B05_R2/S4_B05_R2_IMAG2019.JPG,9330356544,908392,908392,0,1460920202,0
S4/B05/B05_R2/S4_B05_R2_IMAG2447.JPG,9855378432,1093669,1093669,0,3750594541,0
S4/B05/B05_R2/S4_B05_R2_IMAG2448.JPG,9856472167,1090997,1090997,0,394217795,0
S4/B05/B05_R2/S4_B05_R2_IMAG2449.JPG,9857563230,1020438,1020438,0,46907925,0
S4/B06/B06_R1/S4_B06_R1_IMAG0096.JPG,9949305357,1210142,1210142,0,2560824725,0
S4/B06/B06_R1/S4_B06_R1_IMAG0097.JPG,9950515565,1208409,1208409,0,1862982963,0
